Match Number,Date,Location,Home Team,Away Team,Group,Result
1,09.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians (MI),Royal Challengers Bangalore (RCB),,
2,10.04.21 19:30,"Wankhede Stadium, Mumbai",Chennai Super Kings (CSK),Delhi Capitals (DC),,
3,11.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad (SRH),Kolkata Knight Riders (KKR),,
4,12.04.21 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals (RR),Punjab Kings (PK),,
5,13.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders (KKR),Mumbai Indians (MI),,
6,14.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad (SRH),Royal Challengers Bangalore (RCB),,
7,15.04.21 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals (RR),Delhi Capitals (DC),,
8,16.04.21 19:30,"Wankhede Stadium, Mumbai",Punjab Kings (PK),Chennai Super Kings (CSK),,
9,17.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians (MI),Sunrisers Hyderabad (SRH),,
10,18.04.21 15:30,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore (RCB),Kolkata Knight Riders (KKR),,
11,18.04.21 19:30,"Wankhede Stadium, Mumbai",Delhi Capitals (DC),Punjab Kings (PK),,
12,19.04.21 19:30,"Wankhede Stadium, Mumbai",Chennai Super Kings (CSK),Rajasthan Royals (RR),,
13,20.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals (DC),Mumbai Indians (MI),,
14,21.04.21 15:30,"M. A. Chidambaram Stadium, Chennai",Punjab Kings (PK),Sunrisers Hyderabad (SRH),,
15,21.04.21 19:30,"Wankhede Stadium, Mumbai",Kolkata Knight Riders (KKR),Chennai Super Kings (CSK),,
16,22.04.21 19:30,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore (RCB),Rajasthan Royals (RR),,
17,23.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Punjab Kings (PK),Mumbai Indians (MI),,
18,24.04.21 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals (RR),Kolkata Knight Riders (KKR),,
19,25.04.21 15:30,"Wankhede Stadium, Mumbai",Chennai Super Kings (CSK),Royal Challengers Bangalore (RCB),,
20,25.04.21 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad (SRH),Delhi Capitals (DC),,
21,26.04.21 19:30,"Narendra Modi Stadium, Ahmedabad",Punjab Kings (PK),Kolkata Knight Riders (KKR),,
22,27.04.21 19:30,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals (DC),Royal Challengers Bangalore (RCB),,
23,28.04.21 19:30,"Arun Jaitley Stadium, Delhi",Chennai Super Kings (CSK),Sunrisers Hyderabad (SRH),,
24,29.04.21 15:30,"Arun Jaitley Stadium, Delhi",Mumbai Indians (MI),Rajasthan Royals (RR),,
25,29.04.21 19:30,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals (DC),Kolkata Knight Riders (KKR),,
26,30.04.21 19:30,"Narendra Modi Stadium, Ahmedabad",Punjab Kings (PK),Royal Challengers Bangalore (RCB),,
27,01.05.21 19:30,"Arun Jaitley Stadium, Delhi",Mumbai Indians (MI),Chennai Super Kings (CSK),,
28,02.05.21 15:30,"Arun Jaitley Stadium, Delhi",Rajasthan Royals (RR),Sunrisers Hyderabad (SRH),,
29,02.05.21 19:30,"Narendra Modi Stadium, Ahmedabad",Punjab Kings (PK),Delhi Capitals (DC),,
30,03.05.21 19:30,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders (KKR),Royal Challengers Bangalore (RCB),,
31,04.05.21 19:30,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad (SRH),Mumbai Indians (MI),,
32,05.05.21 19:30,"Arun Jaitley Stadium, Delhi",Rajasthan Royals (RR),Chennai Super Kings (CSK),,
33,06.05.21 19:30,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore (RCB),Punjab Kings (PK),,
34,07.05.21 19:30,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad (SRH),Chennai Super Kings (CSK),,
35,08.05.21 15:30,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders (KKR),Delhi Capitals (DC),,
36,08.05.21 19:30,"Arun Jaitley Stadium, Delhi",Rajasthan Royals (RR),Mumbai Indians (MI),,
37,09.05.21 15:30,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings (CSK),Punjab Kings (PK),,
38,09.05.21 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore (RCB),Sunrisers Hyderabad (SRH),,
39,10.05.21 19:30,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians (MI),Kolkata Knight Riders (KKR),,
40,11.05.21 19:30,"Eden Gardens, Kolkata",Delhi Capitals (DC),Rajasthan Royals (RR),,
41,12.05.21 19:30,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings (CSK),Kolkata Knight Riders (KKR),,
42,13.05.21 15:30,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians (MI),Punjab Kings (PK),,
43,13.05.21 19:30,"Eden Gardens, Kolkata",Sunrisers Hyderabad (SRH),Rajasthan Royals (RR),,
44,14.05.21 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore (RCB),Delhi Capitals (DC),,
45,15.05.21 19:30,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders (KKR),Punjab Kings (PK),,
46,16.05.21 15:30,"Eden Gardens, Kolkata",Rajasthan Royals (RR),Royal Challengers Bangalore (RCB),,
47,16.05.21 19:30,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings (CSK),Mumbai Indians (MI),,
48,17.05.21 19:30,"Eden Gardens, Kolkata",Delhi Capitals (DC),Sunrisers Hyderabad (SRH),,
49,18.05.21 19:30,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders (KKR),Rajasthan Royals (RR),,
50,19.05.21 19:30,"M. Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad (SRH),Punjab Kings (PK),,
51,20.05.21 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore (RCB),Mumbai Indians (MI),,
52,21.05.21 15:30,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders (KKR),Sunrisers Hyderabad (SRH),,
53,21.05.21 19:30,"Eden Gardens, Kolkata",Delhi Capitals (DC),Chennai Super Kings (CSK),,
54,22.05.21 19:30,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings (PK),Rajasthan Royals (RR),,
55,23.05.21 15:30,"Eden Gardens, Kolkata",Mumbai Indians (MI),Delhi Capitals (DC),,
56,23.05.21 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore (RCB),Chennai Super Kings (CSK),,
57,25.05.21 19:30,"Narendra Modi Stadium, Ahmedabad",To be announced,To be announced,Qualifier 1,
58,26.05.21 19:30,"Narendra Modi Stadium, Ahmedabad",To be announced,To be announced,Eliminator,
59,28.05.21 19:30,"Narendra Modi Stadium, Ahmedabad",To be announced,To be announced,,
60,30.05.21 19:30,"Narendra Modi Stadium, Ahmedabad",To be announced,To be announced,,